ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20
ราษฎร์บูรณะ,None,None,Public,124,3950,9,None,46,200,0.1182608695652173,68,27037.6,95720.0,0.0,66211.0,0.0,32395.4347826087,10053.66666666667,36477.0,38674.7,68636.625,0.0,92113.0,34491.6,0.0,24447.8
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,None,7,110,0.099009900990099,20,0.0,0.0,0.0,0.0,0.0,11212.945,0.0,0.0,0.0,0.0,0.0,23331.0,0.0,0.0,30551.66666666667
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,None,137,80,0.1222910216718266,79,20431.35714285714,0.0,0.0,0.0,17473.0,0.0,19775.2,113341.5,17310.875,59188.42857142857,0.0,0.0,21470.6,10396.0,33371.0
วิมุต,None,None,Private,236,5900,7,None,232,150,0.0413533834586466,11,19081.83333333333,0.0,0.0,0.0,0.0,17069.66666666667,0.0,0.0,0.0,26125.5,0.0,0.0,0.0,0.0,0.0
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,None,173,150,0.2446808510638297,29,7593.0,0.0,0.0,989.0,0.0,50092.5,0.0,2246.0,6236.0,7362.0,39968.0,0.0,4239.0,31650.0,0.0
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,None,85,300,0.1197604790419161,20,8340.165,0.0,0.0,0.0,0.0,36465.0,19367.69,0.0,3007.2,20202.14,227197.49,63407.57666666666,25613.465,16025.115,24073.8
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,None,256,300,0.0417620137299771,73,68177.18181818182,6174.5,0.0,0.0,0.0,0.0,0.0,0.0,30460.42421052632,39740.51888888889,0.0,79657.75,20186.4,16335.66666666667,48917.6
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,None,45,30,0.0924369747899159,11,6860.0,0.0,0.0,27073.33333333333,0.0,49602.305,0.0,0.0,0.0,58170.0,0.0,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,None,10,150,0.0333333333333333,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สายหยุด,None,None,Private,6,0,4,None,4,200,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,None,258,150,0.118942731277533,27,32325.64285714286,0.0,0.0,0.0,24844.0,5400.0,0.0,0.0,25052.0,34075.0,48503.0,0.0,30786.0,0.0,11585.5
สิรินธร,None,None,Private,305,2000,6,None,144,150,0.4761904761904761,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32535.25,9232.0,76637.125,0.0,13559.75,0.0,0.0
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,None,5,510,0.0847457627118644,30,41270.33333333334,0.0,0.0,19278.0,19804.0,0.0,17546.5,40280.0,0.0,34120.63636363636,68951.0,26226.0,26001.5,0.0,124981.5
สุขสวัสดิ์,None,None,Private,100,4200,8,None,49,50,0.1666666666666666,5,0.0,0.0,0.0,0.0,0.0,33882.0,0.0,0.0,0.0,29045.12,0.0,0.0,15600.0,0.0,11908.32
อินทรารัตน์,None,None,Private,152,3800,8,None,21,150,0.040650406504065,5,0.0,0.0,0.0,0.0,0.0,68509.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
